County,Poverty_Estimate,Poverty_Percent,Median_Household_Income,Population,Unemployment_Rate,Total_Crime
Jackson County,1885,12.9,54088,14760,3.2,56.0
Jasper County,6682,19.2,47551,35529,6.5,386.0
Jeff Davis County,284,13.1,51343,2274,2.9,
Jefferson County,44682,18.7,48121,251565,6.3,432.0
Jim Hogg County,1318,25.2,36176,5200,5.6,
Jim Wells County,8552,21.2,41919,40482,5.4,453.0
Johnson County,17965,10.7,62635,175817,3.4,888.0
Jones County,3232,22.0,43903,20083,4.8,50.0
Karnes County,2751,21.8,48743,15601,2.8,94.0
Kaufman County,14539,11.5,67434,136154,3.4,714.0
Kendall County,3361,7.5,90937,47431,2.9,125.0
Kenedy County,63,14.3,42153,404,3.6,7.0
Kent County,89,13.3,47625,762,2.4,11.0
Kerr County,7023,13.9,53704,52600,3.2,185.0
Kimble County,760,17.6,42503,4337,3.0,11.0
King County,38,13.7,57925,272,2.8,
Kinney County,724,21.1,43192,3667,4.4,1.0
Kleberg County,7369,25.0,42605,30680,4.9,87.0
Knox County,723,20.4,39726,3664,3.6,13.0
Lamar County,7066,14.4,45767,49859,3.8,178.0
Lamb County,2587,20.0,42700,12893,4.4,47.0
Lampasas County,2713,12.9,55151,21428,3.7,81.0
La Salle County,1737,29.6,40072,7520,2.4,39.0
Lavaca County,2644,13.5,51128,20154,3.1,63.0
Lee County,2049,12.3,55834,17239,3.0,95.0
Leon County,2679,15.6,47065,17404,5.0,145.0
Liberty County,12252,15.1,52577,88219,5.8,843.0
Limestone County,4860,22.2,43226,23437,4.6,132.0
Lipscomb County,397,12.0,57332,3233,2.7,34.0
Live Oak County,2067,18.7,48814,12207,3.7,
Llano County,2628,12.3,54019,21795,3.7,90.0
Loving County,5,3.3,78637,169,1.5,
Lubbock County,52037,17.6,50377,310569,3.0,391.0
Lynn County,1063,18.3,43436,5951,3.2,25.0
McCulloch County,1449,18.5,42719,7984,3.3,14.0
McLennan County,46457,18.9,48858,256623,3.6,492.0
McMullen County,82,11.1,64633,743,1.8,19.0
Madison County,2122,17.9,45445,14284,4.4,71.0
Marion County,2135,21.9,38011,9854,4.5,162.0
Martin County,773,13.6,56484,5771,2.5,42.0
Mason County,541,12.7,49560,4274,3.1,18.0
Matagorda County,6639,18.4,48830,36643,6.1,363.0
Maverick County,14859,25.9,35594,58722,8.1,
Medina County,5988,12.3,59304,51584,3.5,411.0
Menard County,452,21.6,35881,2138,4.0,14.0
Midland County,17351,10.1,80189,176832,2.1,659.0
Milam County,3839,15.6,46720,24823,5.5,92.0
Mills County,693,14.6,47068,4873,3.5,16.0
Mitchell County,1432,21.4,48529,8545,4.1,29.0
Montague County,2668,13.8,50542,19818,3.2,115.0
Montgomery County,54400,9.3,77598,607391,3.7,5765.0
Moore County,2588,12.2,53785,20940,2.6,39.0
Morris County,2462,20.2,41418,12388,6.5,76.0
Motley County,219,17.8,41009,1200,3.7,5.0
Nacogdoches County,13110,21.6,45357,65204,3.9,369.0
